Fri Nov 29 23:17:59 2024    profile_output

         10015535 function calls (9984484 primitive calls) in 17.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3276/3274    0.006    0.000    0.028    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1859(transform_affine)
3123/2921    0.003    0.000    0.028    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:136(__enter__)
     1064    0.002    0.000    0.028    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:805(from_bounds)
        1    0.000    0.000    0.027    0.027 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:3884(scatter)
       80    0.004    0.000    0.026    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2100(_raw_ticks)
      300    0.001    0.000    0.025    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:249(_prepare_font)
      404    0.001    0.000    0.025    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1226(_cm_set)
     2131    0.002    0.000    0.023    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:656(__eq__)
10951/6689    0.005    0.000    0.023    0.000 {built-in method builtins.hash}
1232/1136    0.013    0.000    0.023    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2450(get_affine)
    15231    0.010    0.000    0.023    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\__init__.py:745(__getitem__)
      201    0.023    0.000    0.023    0.000 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:217(H_addZeroField)
        3    0.000    0.000    0.022    0.007 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorbar.py:508(_draw_all)
        2    0.000    0.000    0.022    0.011 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:629(draw)
        1    0.000    0.000    0.022    0.022 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:2234(yticks)
     1939    0.002    0.000    0.022    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:3225(min)
        2    0.000    0.000    0.022    0.011 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:943(make_image)
        2    0.002    0.001    0.022    0.011 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:335(_make_image)
      201    0.020    0.000    0.020    0.000 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:195(H_addZeeman)
     1023    0.004    0.000    0.020    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:494(update_position)
     5664    0.013    0.000    0.020    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cbook.py:2063(_setattr_cm)
        1    0.000    0.000    0.020    0.020 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorbar.py:1471(make_axes_gridspec)
     3276    0.019    0.000    0.019    0.000 {built-in method matplotlib._path.affine_transform}
       82    0.000    0.000    0.019    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1529(get_majorticklocs)
     2952    0.008    0.000    0.019    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1899(__init__)
       13    0.000    0.000    0.019    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:349(get_tightbbox)
49960/49924    0.015    0.000    0.019    0.000 {built-in method builtins.isinstance}
      300    0.002    0.000    0.018    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:1308(_find_fonts_by_props)
     2375    0.009    0.000    0.018    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:759(__init__)
        6    0.000    0.000    0.018    0.003 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1134(set_clip_path)
       50    0.001    0.000    0.018    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\path.py:607(get_extents)
   131707    0.017    0.000    0.017    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_type_check_impl.py:80(_real_dispatcher)
        2    0.000    0.000    0.017    0.009 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorbar.py:480(update_normal)
